"ID_CONSTRUTOR","NOME_CONSTRUTOR","NACIONALIDADE_CONSTRUTOR"
1,"mclaren","British"
2,"bmw_sauber","German"
3,"williams","British"
4,"renault","French"
5,"toro_rosso","Italian"
6,"ferrari","Italian"
7,"toyota","Japanese"
8,"super_aguri","Japanese"
9,"red_bull","Austrian"
10,"force_india","Indian"
11,"honda","Japanese"
12,"spyker","Dutch"
13,"mf1","Russian"
14,"spyker_mf1","Dutch"
15,"sauber","Swiss"
16,"bar","British"
17,"jordan","Irish"
18,"minardi","Italian"
19,"jaguar","British"
20,"prost","French"
21,"arrows","British"
22,"benetton","Italian"
23,"brawn","British"
24,"stewart","British"
25,"tyrrell","British"
26,"lola","British"
27,"ligier","French"
28,"forti","Italian"
29,"footwork","British"
30,"pacific","British"
31,"simtek","British"
32,"team_lotus","British"
33,"larrousse","French"
34,"brabham","British"
35,"dallara","Italian"
36,"fondmetal","Italian"
37,"march","British"
38,"moda","Italian"
39,"ags","French"
40,"lambo","Italian"
41,"leyton","British"
42,"coloni","Italian"
44,"eurobrun","Italian"
45,"osella","Italian"
46,"onyx","British"
47,"life","Italian"
48,"rial","German"
49,"zakspeed","German"
50,"ram","British"
51,"alfa","Swiss"
52,"spirit","British"
53,"toleman","British"
54,"ats","Italian"
55,"theodore","Hong Kong"
56,"fittipaldi","Brazilian"
57,"ensign","British"
58,"shadow","British"
59,"wolf","Canadian"
60,"merzario","Italian"
61,"kauhsen","German"
62,"rebaque","Mexican"
63,"surtees","British"
64,"hesketh","British"
65,"martini","French"
66,"brm","British"
67,"penske","American"
68,"lec","British"
69,"mcguire","Australian"
70,"boro","Dutch"
71,"apollon","Swiss"
72,"kojima","Japanese"
73,"parnelli","American"
74,"maki","Japanese"
75,"hill","British"
76,"lyncar","British"
77,"trojan","British"
78,"amon","New Zealand"
79,"token","British"
80,"iso_marlboro","British"
81,"tecno","Italian"
82,"matra","French"
83,"politoys","British"
84,"connew","British"
85,"bellasi","Swiss"
86,"tomaso","Italian"
87,"cooper","British"
88,"eagle","American"
89,"lds","South African"
90,"protos","British"
91,"shannon","British"
92,"scirocco","British"
93,"re","Rhodesian"
94,"brp","British"
95,"porsche","German"
96,"derrington","British"
97,"gilby","British"
98,"stebro","Canadian"
99,"emeryson","British"
100,"enb","Belgium"
101,"jbw","British"
102,"ferguson","British"
103,"mbm","Swiss"
104,"behra-porsche","Italian"
105,"maserati","Italian"
106,"scarab","American"
107,"watson","American"
108,"epperly","American"
109,"phillips","American"
110,"lesovsky","American"
111,"trevis","American"
112,"meskowski","American"
113,"kurtis_kraft","American"
114,"kuzma","American"
115,"vhristensen","American"
116,"ewing","American"
117,"aston_martin","British"
118,"vanwall","British"
119,"moore","American"
120,"dunn","American"
121,"elder","American"
122,"sutton","American"
123,"fry","British"
124,"tec-mec","Italian"
125,"connaught","British"
126,"alta","British"
127,"osca","Italian"
128,"gordini","French"
129,"stevens","American"
130,"bugatti","French"
131,"mercedes","German"
132,"lancia","Italian"
133,"hwm","British"
134,"schroeder","American"
135,"pawl","American"
136,"pankratz","American"
137,"arzani-volpini","Italian"
138,"nichels","American"
139,"bromme","American"
140,"klenk","German"
141,"simca","French"
142,"turner","American"
143,"del_roy","American"
144,"veritas","German"
145,"bmw","German"
146,"emw","East German"
147,"afm","German"
148,"frazer_nash","British"
149,"sherman","American"
150,"deidt","American"
151,"era","British"
152,"butterworth","British"
153,"cisitalia","Italian"
154,"lago","French"
155,"hall","American"
156,"marchese","American"
157,"langley","American"
158,"rae","American"
159,"olson","American"
160,"wetteroth","American"
161,"adams","American"
162,"snowberger","American"
163,"milano","Italian"
164,"hrt","Spanish"
167,"cooper-maserati","British"
166,"virgin","British"
168,"cooper-osca","British"
169,"cooper-borgward","British"
170,"cooper-climax","British"
171,"cooper-castellotti","British"
172,"lotus-climax","British"
173,"lotus-maserati","British"
174,"de_tomaso-osca","Italian"
175,"de_tomaso-alfa_romeo","Italian"
176,"lotus-brm","British"
177,"lotus-borgward","British"
178,"cooper-alfa_romeo","British"
179,"de_tomaso-ferrari","Italian"
180,"lotus-ford","British"
181,"brabham-brm","British"
182,"brabham-ford","British"
183,"brabham-climax","British"
184,"lds-climax","South African"
185,"lds-alfa_romeo","South African"
186,"cooper-ford","British"
187,"mclaren-ford","British"
188,"mclaren-seren","British"
189,"eagle-climax","American"
190,"eagle-weslake","American"
191,"brabham-repco","British"
192,"cooper-ferrari","British"
193,"cooper-ats","British"
194,"mclaren-brm","British"
195,"cooper-brm","British"
196,"matra-ford","French"
197,"brm-ford","British"
198,"mclaren-alfa_romeo","British"
199,"march-alfa_romeo","British"
200,"march-ford","British"
201,"lotus-pw","British"
202,"shadow-ford","British"
203,"shadow-matra","British"
204,"brabham-alfa_romeo","British"
205,"lotus_racing","Malaysian"
206,"marussia","Russian"
207,"caterham","Malaysian"
208,"lotus_f1","British"
209,"manor","British"
210,"haas","American"
211,"racing_point","British"
213,"alphatauri","Italian"
214,"alpine","French"
